OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,RACE,SEX,CIT_AGE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM
11,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2664,Hispanic,Male,50,10,DP13-164852
12,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2664,Hispanic,Male,50,10,DP13-164852
13,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,14-001
14,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,14-001
15,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Neglect of Duty,Failure to request a supervisor to investigate a use of force incident,Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,14-001
16,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,30455
17,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,30455
18,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Neglect of Duty,Failure to request a supervisor to investigate a use of force incident,Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,30455
19,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,I133522715
20,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,I133522715
21,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Neglect of Duty,Failure to request a supervisor to investigate a use of force incident,Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,I133522715
22,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,DP13-164852
23,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,DP13-164852
24,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Neglect of Duty,Failure to request a supervisor to investigate a use of force incident,Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2450,White,Male,42,6,DP13-164852
25,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,3056,Black,Male,31,2,14-001
26,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,3056,Black,Male,31,2,14-001
27,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,3056,Black,Male,31,2,30455
28,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,3056,Black,Male,31,2,30455
29,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,3056,Black,Male,31,2,I133522715
30,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,3056,Black,Male,31,2,I133522715
31,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,3056,Black,Male,31,2,DP13-164852
32,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,3056,Black,Male,31,2,DP13-164852
33,11,Citizen Complaint,,CPCO (Informal),2014/01/21,06:50:00,Criminal Investigation Division,Homicide and Robbery,Robbery/Agg Assault Section,Aggravated Assault Unit,Vehicle Operation,,Exonerated,Incident Location,5000 ,Interstate 70,,E,Indianapolis,9,,,,1979,White,Male,36,8,14-606
34,11,Citizen Complaint,,CPCO (Informal),2014/01/21,06:50:00,Criminal Investigation Division,Homicide and Robbery,Robbery/Agg Assault Section,Aggravated Assault Unit,Vehicle Operation,Aggressive or unsafe driving,Not Sustained,Incident Location,5000 ,Interstate 70,,E,Indianapolis,9,,,,1979,White,Male,36,8,14-606
35,11,Citizen Complaint,,CPCO (Informal),2014/01/21,06:50:00,Criminal Investigation Division,Homicide and Robbery,Robbery/Agg Assault Section,Aggravated Assault Unit,Vehicle Operation,,Exonerated,Incident Location,5000 ,Interstate 70,,E,Indianapolis,9,,,,1979,White,Male,36,8,30460
36,11,Citizen Complaint,,CPCO (Informal),2014/01/21,06:50:00,Criminal Investigation Division,Homicide and Robbery,Robbery/Agg Assault Section,Aggravated Assault Unit,Vehicle Operation,Aggressive or unsafe driving,Not Sustained,Incident Location,5000 ,Interstate 70,,E,Indianapolis,9,,,,1979,White,Male,36,8,30460
37,15,Citizen Complaint,Off-Duty Employment,CPCO (Informal),2014/01/04,00:45:00,Homeland Security Division,Homeland Security Bureau/Traffic,Mounted Patrol Section,Mounted Patrol Unit,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,20,Georgia,Street,E,Indianapolis,15,Unknown,Unknown,,1167,White,Male,48,21,14-603
38,15,Citizen Complaint,Off-Duty Employment,CPCO (Informal),2014/01/04,00:45:00,Homeland Security Division,Homeland Security Bureau/Traffic,Mounted Patrol Section,Mounted Patrol Unit,Violation of Any Rule,"Failure to conform to the department's rules, regulations, orders, policies, and SOPs while off duty",Sustained,Incident Location,20,Georgia,Street,E,Indianapolis,15,Unknown,Unknown,,1167,White,Male,48,21,14-603
39,15,Citizen Complaint,Off-Duty Employment,CPCO (Informal),2014/01/04,00:45:00,Homeland Security Division,Homeland Security Bureau/Traffic,Mounted Patrol Section,Mounted Patrol Unit,Citizen Interaction,Failure to make a report when approached by a citizen,Sustained,Incident Location,20,Georgia,Street,E,Indianapolis,15,Unknown,Unknown,,1167,White,Male,48,21,14-603
40,16,Citizen Complaint,Not Applicable,CPCO (Informal),2013/07/15,16:02:00,Operations Division,Northwest District,NW Late Shift,,Vehicle Operation,Speeding,Not Sustained,Incident Location,7300,Pebblebrooke West,Drive,,Lawrence,18,Black,Female,,751,White,Male,39,15,I131963031
41,16,Citizen Complaint,Not Applicable,CPCO (Informal),2013/07/15,16:02:00,Operations Division,Northwest District,NW Late Shift,,Vehicle Operation,Speeding,Not Sustained,Incident Location,7300,Pebblebrooke West,Drive,,Lawrence,18,Black,Female,,751,White,Male,39,15,14-601
42,16,Citizen Complaint,Not Applicable,CPCO (Informal),2013/07/15,16:02:00,Operations Division,Northwest District,NW Late Shift,,Vehicle Operation,Speeding,Not Sustained,Incident Location,7300,Pebblebrooke West,Drive,,Lawrence,18,Black,Female,,751,White,Male,39,15,902053375
43,17,Citizen Complaint,Not Applicable,CPCO (Informal),2014/01/14,13:10:00,Training Division,Training Branch,Firearms Training Section,,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Exonerated,Incident Location,3950,Interstate 465 (North),,W,Indianapolis,19,,Male,,645,White,Male,55,29,14-604
44,17,Citizen Complaint,Not Applicable,CPCO (Informal),2014/01/14,13:10:00,Training Division,Training Branch,Firearms Training Section,,Vehicle Operation,Speeding,Exonerated,Incident Location,3950,Interstate 465 (North),,W,Indianapolis,19,,Male,,645,White,Male,55,29,14-604
45,18,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/06,21:38:00,Operations Division,Northwest District,NW Late Shift,,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Exonerated,Incident Location,3460,16th ,Street,W,Indianapolis,24,,,,235,White,Male,45,18,I140062138
46,18,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/06,21:38:00,Operations Division,Northwest District,NW Late Shift,,Substandard Performance,,Exonerated,Incident Location,3460,16th ,Street,W,Indianapolis,24,,,,235,White,Male,45,18,I140062138
47,18,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/06,21:38:00,Operations Division,Northwest District,NW Late Shift,,Neglect of Duty,Failure to take proper law enforcement action,Exonerated,Incident Location,3460,16th ,Street,W,Indianapolis,24,,,,235,White,Male,45,18,I140062138
48,18,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/06,21:38:00,Operations Division,Northwest District,NW Late Shift,,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Exonerated,Incident Location,3460,16th ,Street,W,Indianapolis,24,,,,235,White,Male,45,18,14-602
49,18,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/06,21:38:00,Operations Division,Northwest District,NW Late Shift,,Substandard Performance,,Exonerated,Incident Location,3460,16th ,Street,W,Indianapolis,24,,,,235,White,Male,45,18,14-602
50,18,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/06,21:38:00,Operations Division,Northwest District,NW Late Shift,,Neglect of Duty,Failure to take proper law enforcement action,Exonerated,Incident Location,3460,16th ,Street,W,Indianapolis,24,,,,235,White,Male,45,18,14-602
51,18,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/06,21:38:00,Operations Division,Northwest District,NW Late Shift,,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Exonerated,Incident Location,3460,16th ,Street,W,Indianapolis,24,,,,235,White,Male,45,18,DP14-001581
52,18,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/06,21:38:00,Operations Division,Northwest District,NW Late Shift,,Substandard Performance,,Exonerated,Incident Location,3460,16th ,Street,W,Indianapolis,24,,,,235,White,Male,45,18,DP14-001581
53,18,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/06,21:38:00,Operations Division,Northwest District,NW Late Shift,,Neglect of Duty,Failure to take proper law enforcement action,Exonerated,Incident Location,3460,16th ,Street,W,Indianapolis,24,,,,235,White,Male,45,18,DP14-001581
54,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,I133402287
55,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting gesture(s)",Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,I133402287
56,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Substandard Performance,,Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,I133402287
57,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,Failure to provide name or badge number,Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,I133402287
58,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,Failure to make a report when approached by a citizen,Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,I133402287
59,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,14-605
60,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting gesture(s)",Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,14-605
61,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Substandard Performance,,Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,14-605
62,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,Failure to provide name or badge number,Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,14-605
63,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,Failure to make a report when approached by a citizen,Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,14-605
64,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,DP14-160823
65,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting gesture(s)",Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,DP14-160823
66,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Substandard Performance,,Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,DP14-160823
67,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,Failure to provide name or badge number,Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,DP14-160823
68,19,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/06,20:29:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,Failure to make a report when approached by a citizen,Not Sustained,Incident Location,5390,81st,Street,W,Indianapolis,25,,Male,,3005,White,Male,29,3,DP14-160823
69,20,Citizen Complaint,Traffic Stop,CPCO (Formal),2014/01/12,01:19:00,Operations Division,Northwest District,NW Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,5600,Cooper,Road,,,26,Hispanic,Male,34,1880,White,Male,33,9,I140120159
70,20,Citizen Complaint,Traffic Stop,CPCO (Formal),2014/01/12,01:19:00,Operations Division,Northwest District,NW Late Shift,,Use of Force,Unreasonable Force (Handcuff Marks),Exonerated,Incident Location,5600,Cooper,Road,,,26,Hispanic,Male,34,1880,White,Male,33,9,I140120159
71,20,Citizen Complaint,Traffic Stop,CPCO (Formal),2014/01/12,01:19:00,Operations Division,Northwest District,NW Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,5600,Cooper,Road,,,26,Hispanic,Male,34,1880,White,Male,33,9,14-005
72,20,Citizen Complaint,Traffic Stop,CPCO (Formal),2014/01/12,01:19:00,Operations Division,Northwest District,NW Late Shift,,Use of Force,Unreasonable Force (Handcuff Marks),Exonerated,Incident Location,5600,Cooper,Road,,,26,Hispanic,Male,34,1880,White,Male,33,9,14-005
73,25,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/27,10:43:00,Operations Division,Southeast District,SE Day Shift,SE Day Shift,Neglect of Duty,Failure to take proper law enforcement action,Exonerated,Incident Location,6768,East,Street,S,Indianapolis,35,Unknown,Female,,2610,White,Male,41,14,I140270789
74,25,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/27,10:43:00,Operations Division,Southeast District,SE Day Shift,SE Day Shift,Neglect of Duty,Misuse of Discretion,Exonerated,Incident Location,6768,East,Street,S,Indianapolis,35,Unknown,Female,,2610,White,Male,41,14,I140270789
75,25,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/27,10:43:00,Operations Division,Southeast District,SE Day Shift,SE Day Shift,Neglect of Duty,Failure to take proper law enforcement action,Exonerated,Incident Location,6768,East,Street,S,Indianapolis,35,Unknown,Female,,2610,White,Male,41,14,CC 14-610
76,25,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/27,10:43:00,Operations Division,Southeast District,SE Day Shift,SE Day Shift,Neglect of Duty,Misuse of Discretion,Exonerated,Incident Location,6768,East,Street,S,Indianapolis,35,Unknown,Female,,2610,White,Male,41,14,CC 14-610
77,28,Citizen Complaint,Not Applicable,CPCO (Informal),2014/01/23,15:35:00,Operations Division,North District,Nd Middle Shift,,Vehicle Operation,Speeding,Not Sustained,Incident Location,600,Smith Valley,Road,W,Greenwood,38,,Male,,243,White,Male,52,24,14-609
78,29,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/10,18:41:00,Operations Division,North District,Nd Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Exonerated,Incident Location,8760,Rhone Terrace,,,Indianapolis,489,Black,Female,27,2521,White,Male,29,6,I140101529
79,29,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/10,18:41:00,Operations Division,North District,Nd Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Exonerated,Incident Location,8760,Rhone Terrace,,,Indianapolis,489,Black,Female,27,2521,White,Male,29,6,I133401997
80,29,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/10,18:41:00,Operations Division,North District,Nd Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Exonerated,Incident Location,8760,Rhone Terrace,,,Indianapolis,489,Black,Female,27,2521,White,Male,29,6,14-611
81,29,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/10,18:41:00,Operations Division,North District,Nd Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Exonerated,Incident Location,8760,Rhone Terrace,,,Indianapolis,489,Black,Female,27,2903,White,Male,28,4,I140101529
82,29,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/10,18:41:00,Operations Division,North District,Nd Middle Shift,,Citizen Interaction,Failure to make a report when approached by a citizen,Exonerated,Incident Location,8760,Rhone Terrace,,,Indianapolis,489,Black,Female,27,2903,White,Male,28,4,I140101529
83,29,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/10,18:41:00,Operations Division,North District,Nd Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Exonerated,Incident Location,8760,Rhone Terrace,,,Indianapolis,489,Black,Female,27,2903,White,Male,28,4,I133401997
84,29,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/10,18:41:00,Operations Division,North District,Nd Middle Shift,,Citizen Interaction,Failure to make a report when approached by a citizen,Exonerated,Incident Location,8760,Rhone Terrace,,,Indianapolis,489,Black,Female,27,2903,White,Male,28,4,I133401997
85,29,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/10,18:41:00,Operations Division,North District,Nd Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Exonerated,Incident Location,8760,Rhone Terrace,,,Indianapolis,489,Black,Female,27,2903,White,Male,28,4,14-611
86,29,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/10,18:41:00,Operations Division,North District,Nd Middle Shift,,Citizen Interaction,Failure to make a report when approached by a citizen,Exonerated,Incident Location,8760,Rhone Terrace,,,Indianapolis,489,Black,Female,27,2903,White,Male,28,4,14-611
87,30,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/24,14:59:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,5700,Georgetown,Road,,Indianapolis,40,,Female,22,1498,White,Male,35,11,I140241487
88,30,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/24,14:59:00,Operations Division,Northwest District,NW Middle Shift,,Substandard Performance,Failure to properly investigate crash,Not Sustained,Incident Location,5700,Georgetown,Road,,Indianapolis,40,,Female,22,1498,White,Male,35,11,I140241487
89,30,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/24,14:59:00,Operations Division,Northwest District,NW Middle Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,5700,Georgetown,Road,,Indianapolis,40,,Female,22,1498,White,Male,35,11,CC 14-612
90,30,Citizen Complaint,Call For Service,CPCO (Informal),2014/01/24,14:59:00,Operations Division,Northwest District,NW Middle Shift,,Substandard Performance,Failure to properly investigate crash,Not Sustained,Incident Location,5700,Georgetown,Road,,Indianapolis,40,,Female,22,1498,White,Male,35,11,CC 14-612
91,32,Citizen Complaint,,CPCO (Formal),2014/01/02,19:41:00,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,ADMINISTRATIVE DISCRETION,Search/Seizure,Illegal warrantless search,Not Sustained,Incident Location,5563,Scarlet,Drive,,Indianapolis,41,Black,Male,27,397,White,Male,47,13,14-007
92,32,Citizen Complaint,,CPCO (Formal),2014/01/02,19:41:00,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,ADMINISTRATIVE DISCRETION,Search/Seizure,Illegal warrantless search,Not Sustained,Incident Location,5563,Scarlet,Drive,,Indianapolis,41,Black,Male,27,397,White,Male,47,13,I140021909
